样本,天数,Dual交易天数,R交易天数,Pearson,Spearman,同涨同跌占比
全日历日，空仓收益按0,2322,1141,1203,0.7094,0.7191,0.3824
双方都有交易的日期,1027,1027,1027,0.7305,0.8418,0.8647
Dual有交易的日期,1141,1141,1027,0.7222,0.8245,0.7783
RBreaker有交易的日期,1203,1027,1203,0.7156,0.809,0.7382
月度收益,77,,,0.7,0.6647,0.8701
